,precision,recall,f1-score,support
0,0.6357388316151202,0.592948717948718,0.6135986733001658,312.0
1,0.5381818181818182,0.5826771653543307,0.5595463137996219,254.0
accuracy,0.588339222614841,0.588339222614841,0.588339222614841,0.588339222614841
macro avg,0.5869603248984692,0.5878129416515243,0.5865724935498939,566.0
weighted avg,0.5919588291203168,0.588339222614841,0.589341960732784,566.0
