,precision,recall,f1-score,support
0,0.6625386996904025,0.6858974358974359,0.6740157480314961,312.0
1,0.5967078189300411,0.5708661417322834,0.5835010060362174,254.0
accuracy,0.6342756183745583,0.6342756183745583,0.6342756183745583,0.6342756183745583
macro avg,0.6296232593102218,0.6283817888148597,0.6287583770338567,566.0
weighted avg,0.6329962196318657,0.6342756183745583,0.6333960581608232,566.0
