,precision,recall,f1-score,support
0,0.6818181818181818,0.625,0.6521739130434783,312.0
1,0.5821428571428572,0.6417322834645669,0.6104868913857678,254.0
accuracy,0.6325088339222615,0.6325088339222615,0.6325088339222615,0.6325088339222615
macro avg,0.6319805194805195,0.6333661417322834,0.6313304022146231,566.0
weighted avg,0.6370875590840255,0.6325088339222615,0.6334663096847177,566.0
